date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:57:35	299/299	---M--	200	added ('OK')	text/plain	etag:W/%2212b-1811e611712%22	https://deep-tech-startup-jjto1.codedesign.app/robots.txt		(from )
22:57:35	180319/180319	---MCZ	200	added ('OK')	text/html	etag:%222c05f-Q7rN8fOIgNAXaxocTNPCHvPZSkY%22	https://deep-tech-startup-jjto1.codedesign.app/	/home/abhyuday/websites/MavLens/deep-tech-startup-jjto1.codedesign.app/index.html	(from )
22:57:36	59305/59305	---MCZ	200	added ('OK')	text/css	etag:W/%22ecd507b3125edc4d2a03aa6ae5d07da9%22	https://use.fontawesome.com/releases/v5.15.4/css/all.css	/home/abhyuday/websites/MavLens/use.fontawesome.com/releases/v5.15.4/css/all.css	(from https://deep-tech-startup-jjto1.codedesign.app/)
22:57:37	30781/30781	---MCZ	200	added ('OK')	text/css	etag:W/%22783d-189df18e1a8%22	https://deep-tech-startup-jjto1.codedesign.app/_next/static/css/346b9fe967711a57.css	/home/abhyuday/websites/MavLens/deep-tech-startup-jjto1.codedesign.app/_next/static/css/346b9fe967711a57.css	(from https://deep-tech-startup-jjto1.codedesign.app/)
22:57:38	91434/91434	---MCZ	200	added ('OK')	application/javascript	etag:W/%221652a-189df18e1a8%22	https://deep-tech-startup-jjto1.codedesign.app/_next/static/chunks/polyfills-a40ef1678bae11e696dba45124eadd70.js	/home/abhyuday/websites/MavLens/deep-tech-startup-jjto1.codedesign.app/_next/static/chunks/polyfills-a40ef1678bae11e696dba45124eadd70.js	(from https://deep-tech-startup-jjto1.codedesign.app/)
22:57:39	3803/3803	---MCZ	200	added ('OK')	application/javascript	etag:W/%22edb-189df18e1a8%22	https://deep-tech-startup-jjto1.codedesign.app/_next/static/chunks/webpack-2e52859dadb07ea3.js	/home/abhyuday/websites/MavLens/deep-tech-startup-jjto1.codedesign.app/_next/static/chunks/webpack-2e52859dadb07ea3.js	(from https://deep-tech-startup-jjto1.codedesign.app/)
22:57:40	130311/130311	---MCZ	200	added ('OK')	application/javascript	etag:W/%221fd07-189df18e1ac%22	https://deep-tech-startup-jjto1.codedesign.app/_next/static/chunks/framework-092837ea0334d9b5.js	/home/abhyuday/websites/MavLens/deep-tech-startup-jjto1.codedesign.app/_next/static/chunks/framework-092837ea0334d9b5.js	(from https://deep-tech-startup-jjto1.codedesign.app/)
22:57:41	61886/61886	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f1be-189df18e1a8%22	https://deep-tech-startup-jjto1.codedesign.app/_next/static/chunks/main-3ff82a6967839010.js	/home/abhyuday/websites/MavLens/deep-tech-startup-jjto1.codedesign.app/_next/static/chunks/main-3ff82a6967839010.js	(from https://deep-tech-startup-jjto1.codedesign.app/)
22:57:43	6373/6373	---MCZ	200	added ('OK')	application/javascript	etag:W/%2218e5-189df18e1a8%22	https://deep-tech-startup-jjto1.codedesign.app/_next/static/chunks/pages/%5B%5B...slug%5D%5D-5fb8df814d4d84e1.js	/home/abhyuday/websites/MavLens/deep-tech-startup-jjto1.codedesign.app/_next/static/chunks/pages/[[...slug]]-5fb8df814d4d84e1.js	(from https://deep-tech-startup-jjto1.codedesign.app/)
22:57:43	310/310	---M--	200	added ('OK')	application/javascript	etag:W/%22136-189df18e1a8%22	https://deep-tech-startup-jjto1.codedesign.app/_next/static/qIfS1wSRnwkzgJ2WzS_sU/_buildManifest.js	/home/abhyuday/websites/MavLens/deep-tech-startup-jjto1.codedesign.app/_next/static/qIfS1wSRnwkzgJ2WzS_sU/_buildManifest.js	(from https://deep-tech-startup-jjto1.codedesign.app/)
